CNTYVTD,CruzR_18G_U.S. Sen,O'RourkeD_18G_U.S. Sen,DikemanL_18G_U.S. Sen
"0292037",396,467,6
"0292038",286,547,7
"0292039",117,583,7
"0292040",283,810,15
"0292041",286,962,5
"0292042",104,487,6
"0292043",118,570,8
"0292044",178,607,10
"0292045",230,966,9
"0292046",300,925,9
"0292047",239,660,9
"0292048",108,549,11
"0292049",314,909,6
"0292050",243,625,18
"0292051",73,188,7
"0292052",75,320,0
"0292053",97,422,1
"0292054",186,945,6
"0292055",247,1067,10
"0292056",146,462,8
"0292057",187,676,7
"0292058",223,676,13
"0292059",217,695,11
"0292060",153,487,6
"0292061",206,353,0
"0292062",191,401,4
"0292063A",315,208,5
"0292063B",353,231,8
"0292063C",12,8,0
"0292064",367,768,16
"0292065",620,1393,10
"0292066",1005,1220,22
"0292067",29,134,0
"0292068",958,1317,23
"0292069",426,930,17
"0292070",95,609,5
"0292071",44,195,1
"0292072",614,1025,25
"0292073",143,387,4
"0292074",67,239,2
"0292075",37,295,6
"0292076",543,742,16
"0292077",548,770,14
"0292078",371,769,8
"0292079",23,188,1
"0292080",163,424,3
"0292081",108,304,3
"0292082",184,486,8
"0292083",79,326,3
"0292084",1101,1009,18
"0292085",163,489,6
"0292086",683,1052,13
"0292087",518,558,6
"0292088",657,1296,22
"0292089",32,124,1
"0292090",204,597,9
"0292091",318,988,11
"0292092",84,138,0
"0292093",183,336,4
"0292094",66,61,0
"0292095A",626,436,7
"0292095B",226,155,1
"0292096",257,742,9
"0292097",382,821,14
"0292098",186,411,3
"0292099",378,516,8
"0292100",179,392,10
"0292101",408,386,11
"0292102",585,854,17
"0292103",12,91,1
"0292104",11,91,2
"0292105",32,184,0
"0292106",66,159,2
"0292107",491,897,14
"0292108",355,360,4
"0292109",0,3,0
"0292110",235,371,4
"0292111",168,346,8
"0292112",356,572,7
"0292113",10,24,0
"0292114",296,707,15
"0292115",1123,1204,16
"0292116",0,2,0
"0292117",36,211,0
"0292118",0,13,0
"0292119",24,117,2
"0292120",233,347,3
"0292121",86,142,4
"0292122",131,552,8
"0292123",536,547,8
"0292124",170,253,2
"0292125",1144,1690,36
"0292126",232,404,9
"0292127",551,844,24
"0292128",129,632,5
"0292129",1,2,0
"0292130",376,734,14
"0292131",54,131,4
"0292132",0,1,0
"0292133",74,110,2
"0292134",147,388,4
"0292135",68,218,4
"0292136",866,1236,22
"0292137",199,360,4
"0292138",156,324,6
"0292139",435,609,12
"0292140",204,489,13
"0292141",277,459,12
"0292142",64,187,0
"0292143",465,611,12
"0292144",334,703,11
"0292145",88,118,3
"0292146",8,27,0
"0292147",81,155,2
"0292148",434,1211,16
"0292149",224,618,8
"0292150",0,3,0
"0292151",3,6,0
"0292152",47,213,0
"0292153",50,108,4
"0292154A",157,112,3
"0292154B",103,72,1
"0292155",1,0,0
"0292156",150,436,5
"0292157",0,0,0
"0292158",0,0,0
"0292159",42,62,0
"0292160",6,6,0
"0293001",1004,859,19
"0293002",625,701,16
"0293003",27,17,2
"0293004",0,1,0
"0293005",956,476,9
"0293006",348,364,7
"0293007",785,782,10
"0293008",42,20,1
"0293009",8,2,0
"0293010",93,186,4
"0293011",342,350,5
"0293012",424,213,1
"0293013",420,664,12
"0293014",151,176,2
"0293015",264,344,5
"0293016",65,65,2
"0293017A",1050,450,8
"0293017B",41,18,1
"0293018",657,606,18
"0293019",99,228,4
"0293020",789,1012,21
"0293021",1197,571,13
"0293022",517,565,13
"0293023",527,850,16
"0293024",0,0,0
"0293025",590,592,8
"0293026",562,512,7
"0293027",499,478,10
"0293028",563,558,9
"0293029",312,429,9
"0293030",840,656,8
"0293031",6,9,0
"0293032",353,758,13
"0293033",872,496,15
"0293034",1442,405,8
"0293035",212,273,3
"0293036",675,1361,12
"0293037",699,938,13
"0293038",372,415,5
"0293039",1473,907,20
"0293040",594,675,15
"0293041",191,177,4
"0293042",847,674,12
"0293043",1102,565,10
"0293044",446,487,9
"0293045",617,421,12
"0293046",473,516,5
"0293047",603,676,13
"0293048",469,600,9
"0293049",819,686,10
"0293050",382,323,6
"0293051",161,96,4
"0293052",1415,1251,15
"0293053",586,571,13
"0293054",367,595,15
"0293055",1310,515,22
"0293056",346,656,9
"0293057",192,188,0
"0293058",608,1113,17
"0293059",500,477,5
"0293060",521,642,12
"0293061",428,602,13
"0293062",13,13,0
"0293063",574,658,9
"0293064",121,158,6
"0293065",10,26,0
"0293066",564,657,5
"0293067",511,529,15
"0293068",341,884,10
"0293069",976,1076,11
"0293070",879,855,11
"0293071",550,881,9
"0293072",1271,994,16
"0293073",431,563,8
"0293074",855,854,15
"0293075",1337,829,18
"0293076",595,387,9
